,freq,Base,lne_4001_8001_1,lne_4001_4204_1,lne_4001_4097_1,lne_4001_4094_1,lne_4001_4090_1,lne_3906_4001_2,lne_3906_4001_1
38,0.352,2.3555092826487396,2.355372743019231,2.3554656153049307,2.3508699546206784,2.3507931353536984,2.355468818355215,2.355437300565585,2.355437300565585
39,0.356,2.304001562882248,2.3038800385825513,2.303957340350759,2.299205095768349,2.299021780725292,2.3039640866403532,2.3039347085571733,2.3039347085571733
40,0.36,2.2541235863058833,2.254016216096388,2.254078826114851,2.249122726147913,2.2488126797316674,2.254089475137199,2.2540618982290006,2.2540618982290006
41,0.364,2.205806465880129,2.2057117625618865,2.205761184863135,2.2005457982479033,2.2000837903339026,2.205776213653851,2.2057499194515717,2.2057499194515717
42,0.368,2.1589842169412847,2.158900774139234,2.1589384313006805,2.1533968030270967,2.1527507901066785,2.1589583773722074,2.1589328359497073,2.1589328359497073
43,0.372,2.113593274185195,2.1135204837283363,2.113546999655285,2.1075967772196753,2.10672558161638,2.1135724129273337,2.113547255342378,2.113547255342378
44,0.376,2.069572750286066,2.0695110774860117,2.0695260022537516,2.063064842640508,2.061915321033316,2.069557436753064,2.0695325209221487,2.0695325209221487
45,0.38,2.0268647347068502,2.0268155867698674,2.026817528234484,2.0197173517823184,2.018220808459546,2.0268555680894655,2.026830943999234,2.026830943999234
46,0.384,1.985414222729232,1.9853796933773133,1.9853665725237302,1.9774660870171066,1.9755335424305016,1.985411870411643,1.9853877123293187,1.9853877123293187
47,0.388,1.9451687833142286,1.9451514645347776,1.9451207036961833,1.9362155190760415,1.9337314498838658,1.9451740183144675,1.9451505706808785,1.9451505706808785
48,0.392,1.9060781715215045,1.9060810778725428,1.9060296764173115,1.8958592047359846,1.8926734834476986,1.9060919070109572,1.9060694553648283,1.9060694553648283
49,0.396,1.8680939762410766,1.868120561433143,1.8680450791992642,1.8562752785586412,1.852193363706807,1.8681173003259806,1.8680961621783532,1.8680961621783532
50,0.4,1.8311693063373942,1.8312235444287104,1.8311200205637423,1.8173210091467609,1.8120933255066536,1.8312035211567355,1.831184049548377,1.831184049548377
51,0.404,1.7952584900480517,1.7953450047731951,1.795208828454828,1.7788267400195366,1.7721403810792855,1.7953051589621665,1.7952877538596959,1.7952877538596959
52,0.408,1.7603167607691992,1.7604409984615266,1.7602667360362916,1.7405905241002415,1.7320712642397282,1.7603777673420107,1.760362892639113,1.760362892639113
53,0.412,1.7262999053845822,1.7264683559616671,1.7262495300325897,1.702377040602192,1.6916191605561695,1.72637752831949,1.7263657340422,1.7263657340422
54,0.416,1.6931638519152026,1.6933843293202682,1.6931131383923497,1.6639290734743573,1.6505857679888278,1.69326086111661,1.693252811643501,1.693252811643501
55,0.42,1.660864170291115,1.6611461700935155,1.6608131310774097,1.6250080907747217,1.6089895590941503,1.6609839508186004,1.660980460831168,1.660980460831168
56,0.424,1.62935545358326,1.629710612286947,1.629304101316882,1.5854908150648774,1.5672991406374213,1.6295021665452039,1.6295042472509127,1.6295042472509127
57,0.428,1.5985905371002416,1.5990332258216549,1.598538884732954,1.545548596158911,1.5266593905977737,1.598769329680079,1.5987782487247908,1.5987782487247908
58,0.432,1.5685194991588634,1.5690675939565895,1.5684675601494376,1.5058891948691562,1.4888395148688314,1.5687367802306993,1.5687541396521625,1.5687541396521625
59,0.436,1.5390883699899613,1.5397642516619672,1.539036158547455,1.4679019052832687,1.4556189732491345,1.5393521734472257,1.5393800108689026,1.5393800108689026
60,0.44,1.5102374547135047,1.5110693001091922,1.510184986105789,1.4333951261341493,1.4278344930419935,1.5105579199266437,1.510598838525584,1.510598838525584
61,0.444,1.481899154265817,1.4829225842215294,1.4818464452132443,1.4037940546127978,1.404916434582729,1.4822891618876892,1.4823464936734838,1.4823464936734838
62,0.448,1.4539951457473455,1.4552552846058031,1.4539422149274048,1.3793186228612975,1.3853583292032512,1.4544711562404196,1.4545491599527567,1.4545491599527567
63,0.452,1.4264327520241071,1.427986729790298,1.426379620722985,1.3589324661252942,1.3675680423218666,1.4270158998370532,1.42711999053166,1.42711999053166
