,freq,Base,lne_4001_8001_1,lne_4001_4204_1,lne_4001_4097_1,lne_4001_4094_1,lne_4001_4090_1,lne_3906_4001_2,lne_3906_4001_1
21,0.284,2.746602987353928,2.6007237305826107,2.746602987353928,2.6651361557539817,2.677475097218532,2.746602987353928,2.7027746306449263,2.7027746306449263
22,0.288,2.677219756790947,2.536860430506856,2.677219756790947,2.5988223830285344,2.610911895442803,2.677219756790947,2.6345966340752205,2.6345966340752205
23,0.292,2.6105473273905937,2.4755129234839885,2.6105473273905937,2.5351014768043685,2.546946457794349,2.6105473273905937,2.5690844303408125,2.5690844303408125
24,0.296,2.5464441326541993,2.4165490656128594,2.5464441326541993,2.4738366985816835,2.48544098162405,2.5464441326541993,2.5060984972899254,2.5060984972899254
25,0.3,2.484776136309651,2.3598436603808306,2.484776136309651,2.414898821187893,2.4262651207134516,2.484776136309651,2.4455067033668345,2.4455067033668345
26,0.304,2.425415927656016,2.3052775897981688,2.425415927656016,2.3581653603726327,2.369295207762438,2.425415927656016,2.3871834099158877,2.3871834099158877
27,0.308,2.3682418464455446,2.2527369985852124,2.3682418464455446,2.3035198081353485,2.314413479551998,2.3682418464455446,2.3310086088611883,2.3310086088611883
28,0.312,2.313137221189877,2.202112656533303,2.313137221189877,2.2508508466218204,2.261507284624513,2.313137221189877,2.276867189412501,2.276867189412501
29,0.316,2.259989931731228,2.1532997961213782,2.259989931731228,2.20005151593073,2.210468248323994,2.259989931731228,2.224648564413532,2.224648564413532
30,0.32,2.2086927219162473,2.1061990115605207,2.2086927219162473,2.151018302123858,2.161191363588432,2.2086927219162473,2.1742471175012397,2.1742471175012397
31,0.324,2.1591449216048244,2.0607191189664333,2.1591449216048244,2.1036501040377686,2.1135739687254684,2.1591449216048244,2.125564179922451,2.125564179922451
32,0.328,2.111256095605927,2.0167826936692492,2.111256095605927,2.057847032620533,2.067514568468367,2.111256095605927,2.0785120863706448,2.0785120863706448
33,0.332,2.064950657713472,1.974333041510953,2.064950657713472,2.0135090044905803,2.0229114604759357,2.064950657713472,2.0330192612368894,2.0330192612368894
34,0.336,2.0201689551105533,1.933336656905244,2.0201689551105533,1.970534137777088,1.979661168072087,2.0201689551105533,1.9890314958650075,1.9890314958650075
35,0.34,1.9768577736696904,1.8937717060276207,1.9768577736696904,1.9288171024806215,1.93765680269128,1.9768577736696904,1.9465018618594014,1.9465018618594014
36,0.344,1.9349499065973113,1.855601537117005,1.9349499065973113,1.8882479436648476,1.896786793548515,1.9349499065973113,1.905368885693925,1.905368885693925
37,0.348,1.8943481430231992,1.8187522017975462,1.8943481430231992,1.8487126967908736,1.8569351123558575,1.8943481430231992,1.8655392881502233,1.8655392881502233
38,0.352,1.8549328674866268,1.783116746966825,1.8549328674866268,1.8100985521651138,1.8179853639762185,1.8549328674866268,1.8268952901950894,1.8268952901950894
39,0.356,1.8165954034811085,1.7485851087117268,1.8165954034811085,1.772307968020461,1.7798325403611566,1.8165954034811085,1.7893278304947395,1.7893278304947395
40,0.36,1.7792850338548152,1.7150808522851286,1.7792850338548152,1.7352851122529647,1.7424053686052294,1.7792850338548152,1.7527821115384583,1.7527821115384583
